"","4","12","0.0017","HIGH","Sample","F","DJHR","1.516","43","NA","Sample.Key","Type","Site","Analyst","Mass.of.Soil","Total.Volume","Concentration"
"1279",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",24,"Sample","C","SGB",1.5074,44,NA
"1280",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",24,"Sample","C","SGB",1.5074,44,NA
"1281",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",24,"Sample","C","SGB",1.5074,44,NA
"1282",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",24,"Sample","C","SGB",1.5074,44,NA
"1283",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",24,"Sample","C","SGB",1.5074,44,NA
"1284",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",24,"Sample","C","SGB",1.5074,44,NA
"1285",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",24,"Sample","C","SGB",1.5074,44,NA
"1286",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",24,"Sample","C","SGB",1.5074,44,NA
"1287",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",24,"Sample","C","SGB",1.5074,44,NA
"1288",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",24,"Sample","C","SGB",1.5074,44,NA
"1289",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1290",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",24,"Sample","C","SGB",1.5074,44,NA
"1291",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",24,"Sample","C","SGB",1.5074,44,NA
"1292",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1293",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1294",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1295",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",24,"Sample","C","SGB",1.5074,44,NA
"1296",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1297",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",24,"Sample","C","SGB",1.5074,44,NA
"1298",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",24,"Sample","C","SGB",1.5074,44,NA
"1299",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",24,"Sample","C","SGB",1.5074,44,NA
"1300",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1301",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",24,"Sample","C","SGB",1.5074,44,NA
"1302",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",24,"Sample","C","SGB",1.5074,44,NA
"1303",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1304",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",24,"Sample","C","SGB",1.5074,44,NA
"1305",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",24,"Sample","C","SGB",1.5074,44,NA
"1306",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",24,"Sample","C","SGB",1.5074,44,NA
"1307",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1308",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",24,"Sample","C","SGB",1.5074,44,NA
"1309",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1310",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",24,"Sample","C","SGB",1.5074,44,NA
"1311",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",24,"Sample","C","SGB",1.5074,44,NA
"1312",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1313",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",24,"Sample","C","SGB",1.5074,44,NA
"1314",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",24,"Sample","C","SGB",1.5074,44,NA
"1315",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",24,"Sample","C","SGB",1.5074,44,NA
"1316",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",24,"Sample","C","SGB",1.5074,44,NA
"1317",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",24,"Sample","C","SGB",1.5074,44,NA
"1318",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",24,"Sample","C","SGB",1.5074,44,NA
"1319",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",24,"Sample","C","SGB",1.5074,44,NA
"1320",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",24,"Sample","C","SGB",1.5074,44,NA
"1321",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",25,"Sample","MB","SGB",0,44.5,NA
"1322",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1323",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1324",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1325",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1326",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1327",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1328",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",25,"Sample","MB","SGB",0,44.5,NA
"1329",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1330",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1331",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",25,"Sample","MB","SGB",0,44.5,NA
"1332",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",25,"Sample","MB","SGB",0,44.5,NA
"1333",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",25,"Sample","MB","SGB",0,44.5,NA
"1334",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",25,"Sample","MB","SGB",0,44.5,NA
"1335",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",25,"Sample","MB","SGB",0,44.5,NA
"1336",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",25,"Sample","MB","SGB",0,44.5,NA
"1337",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",25,"Sample","MB","SGB",0,44.5,NA
"1338",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",25,"Sample","MB","SGB",0,44.5,NA
"1339",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",25,"Sample","MB","SGB",0,44.5,NA
"1340",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",25,"Sample","MB","SGB",0,44.5,NA
"1341",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",25,"Sample","MB","SGB",0,44.5,NA
"1342",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",25,"Sample","MB","SGB",0,44.5,NA
"1343",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1344",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1345",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",25,"Sample","MB","SGB",0,44.5,NA
"1346",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1347",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1348",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1349",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1350",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1351",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1352",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",25,"Sample","MB","SGB",0,44.5,NA
"1353",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",25,"Sample","MB","SGB",0,44.5,NA
"1354",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",25,"Sample","MB","SGB",0,44.5,NA
"1355",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1356",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",25,"Sample","MB","SGB",0,44.5,NA
"1357",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",25,"Sample","MB","SGB",0,44.5,NA
"1358",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1359",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",25,"Sample","MB","SGB",0,44.5,NA
"1360",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",25,"Sample","MB","SGB",0,44.5,NA
"1361",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",25,"Sample","MB","SGB",0,44.5,NA
"1362",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1363",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",25,"Sample","MB","SGB",0,44.5,NA
"1364",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1365",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",25,"Sample","MB","SGB",0,44.5,NA
"1366",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",25,"Sample","MB","SGB",0,44.5,NA
"1367",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1368",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",25,"Sample","MB","SGB",0,44.5,NA
"1369",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",25,"Sample","MB","SGB",0,44.5,NA
"1370",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",25,"Sample","MB","SGB",0,44.5,NA
"1371",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",25,"Sample","MB","SGB",0,44.5,NA
"1372",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",25,"Sample","MB","SGB",0,44.5,NA
"1373",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",25,"Sample","MB","SGB",0,44.5,NA
"1374",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1375",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",25,"Sample","MB","SGB",0,44.5,NA
"1376",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1377",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1378",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1379",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1380",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1381",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1382",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1383",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",26,"Sample","C","AWB",1.5115,42.5,NA
"1384",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1385",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1386",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1387",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1388",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1389",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1390",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1391",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1392",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",26,"Sample","C","AWB",1.5115,42.5,NA
"1393",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",26,"Sample","C","AWB",1.5115,42.5,NA
"1394",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",26,"Sample","C","AWB",1.5115,42.5,NA
"1395",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",26,"Sample","C","AWB",1.5115,42.5,NA
"1396",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",26,"Sample","C","AWB",1.5115,42.5,NA
"1397",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",26,"Sample","C","AWB",1.5115,42.5,NA
"1398",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1399",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1400",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",26,"Sample","C","AWB",1.5115,42.5,NA
"1401",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1402",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1403",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1404",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1405",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1406",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1407",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1408",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1409",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1410",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1411",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",26,"Sample","C","AWB",1.5115,42.5,NA
"1412",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1413",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1414",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1415",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1416",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1417",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1418",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1419",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1420",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1421",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1422",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1423",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",26,"Sample","C","AWB",1.5115,42.5,NA
"1424",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",26,"Sample","C","AWB",1.5115,42.5,NA
"1425",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",26,"Sample","C","AWB",1.5115,42.5,NA
"1426",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",26,"Sample","C","AWB",1.5115,42.5,NA
"1427",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",26,"Sample","C","AWB",1.5115,42.5,NA
"1428",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1429",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1430",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",26,"Sample","C","AWB",1.5115,42.5,NA
"1431",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1432",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1433",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1434",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1435",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1436",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1437",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1438",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",27,"Sample","QC","AWB",1.5794,43.5,NA
"1439",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1440",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1441",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1442",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1443",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1444",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1445",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1446",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1447",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",27,"Sample","QC","AWB",1.5794,43.5,NA
"1448",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",27,"Sample","QC","AWB",1.5794,43.5,NA
"1449",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",27,"Sample","QC","AWB",1.5794,43.5,NA
"1450",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",27,"Sample","QC","AWB",1.5794,43.5,NA
"1451",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",27,"Sample","QC","AWB",1.5794,43.5,NA
"1452",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",27,"Sample","QC","AWB",1.5794,43.5,NA
"1453",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1454",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1455",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",27,"Sample","QC","AWB",1.5794,43.5,NA
"1456",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1457",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1458",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1459",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1460",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1461",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1462",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1463",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1464",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1465",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1466",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",27,"Sample","QC","AWB",1.5794,43.5,NA
"1467",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1468",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1469",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1470",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1471",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1472",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1473",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1474",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1475",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1476",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1477",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1478",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",27,"Sample","QC","AWB",1.5794,43.5,NA
"1479",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",27,"Sample","QC","AWB",1.5794,43.5,NA
"1480",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",27,"Sample","QC","AWB",1.5794,43.5,NA
"1481",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",27,"Sample","QC","AWB",1.5794,43.5,NA
"1482",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",27,"Sample","QC","AWB",1.5794,43.5,NA
"1483",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1484",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1485",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",27,"Sample","QC","AWB",1.5794,43.5,NA
"1486",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",28,"CalStd2","","",NA,NA,0.1
"1487",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",28,"CalStd2","","",NA,NA,0.1
"1488",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",28,"CalStd2","","",NA,NA,0.1
"1489",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",28,"CalStd2","","",NA,NA,0.1
"1490",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",28,"CalStd2","","",NA,NA,0.1
"1491",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",28,"CalStd2","","",NA,NA,0.1
"1492",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",28,"CalStd2","","",NA,NA,0.1
"1493",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",28,"CalStd2","","",NA,NA,0.1
"1494",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",28,"CalStd2","","",NA,NA,0.1
"1495",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",28,"CalStd2","","",NA,NA,0.1
"1496",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",28,"CalStd2","","",NA,NA,0.1
"1497",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",28,"CalStd2","","",NA,NA,0.1
"1498",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",28,"CalStd2","","",NA,NA,0.1
"1499",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",28,"CalStd2","","",NA,NA,0.1
"1500",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",28,"CalStd2","","",NA,NA,0.1
"1501",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",28,"CalStd2","","",NA,NA,0.1
"1502",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",28,"CalStd2","","",NA,NA,0.1
"1503",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",28,"CalStd2","","",NA,NA,0.1
"1504",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",28,"CalStd2","","",NA,NA,0.1
"1505",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",28,"CalStd2","","",NA,NA,0.1
"1506",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",28,"CalStd2","","",NA,NA,0.1
